Location,Size,Price (CZK),Link,Total price,Order ID,Update,Building,Property status,Ownership,Property location,Floor,Usable area,Floorage,Balcony,Move-in date,Water,Heating,Gas,Electricity,Transportation,Energy Performance Rating,Energy Performance Certificate,Loft,Furnished,Elevator,Flat type,Terrace,Cellar,Parking,Energy Performance Indicator,Price,Garden area,Cost of living,Garage,Barrier-free access,Loggia,Reconstruction year,Waste,Telecommunications,Annuity,Acquisition of title,Final building approval year,Road,Built-up area,Construction completion date,Note on the price,ID,Discounted,Original cost,Sales commencement date,Visit site date,Visit site date to,Basin area,Basin,Status,Ceiling height,Share size,Number of owners,Starting price,Expert judgement,Minimum Bid,Auction principal,Type of auction,Venue auction,Auction sale date,1st site visit date,2nd site visit date,Advertisement of auction,Number of flats,Share size of common area
"Žitavského, Praha 5 - Zbraslav",For sale apartment 3+1 72 m²,7490000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-zbraslav-zitavskeho/2988356172,,885450,Yesterday,Brick,For renovation,Personal,,3. floor of total 5 including 1 underground,72 m2,72 m2,4 m2,Immediately,Water supply,Central electric,Gas pipeline,,Urban public transportation,Class G Coll. 148/2007 complying with,,,,,,,20 m2,,,,,,,,,,Sewerage,,,,,Asphalt,,,,,6 990 000 CZK per property,7 490 000 CZK,,,,,,,,,,,,,,,,,,,,,
"Pod křížkem, Praha 4 - Braník",For sale apartment 5+1 178 m² (Mezonet),15450000,https://www.sreality.cz/en/detail/sale/flat/5+1/praha-branik-pod-krizkem/3825828428,15 450 000 CZK per property,914185,30.09.2024,Brick,In very good condition,Cooperative,,3. floor of total 3,178 m2,140 m2,7 m2,Immediately,Water supply,,Gas pipeline,,,Class F Coll. 148/2007 complying with,,,Partially,,Mezonet,11 m2,,,,,,,,,,,Sewerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mladoboleslavská, Praha 9 - Kbely",For sale apartment 1+kt 24 m²,4200000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-kbely-mladoboleslavska/3932734796,4 200 000 CZK per property,A5.22,13.09.2024,Brick,Under construction,Personal,Municipality centre,5. floor of total 6,24 m2,25 m2,,Immediately,,Central district heating,Gas pipeline,,"Road, Urban public transportation, Bus",Class B Coll. 264/2020 complying with,,,Partially,,,7 m2,,,,,,,,,,,Sewerage,,,,2025,,,,,,,,02.06.2023,,,,,,,,,,,,,,,,,,,,
"Mladoboleslavská, Praha 9 - Kbely",For sale apartment 1+kt 24 m²,4200000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-kbely-mladoboleslavska/1248380236,4 200 000 CZK per property,A5.18,13.09.2024,Brick,Under construction,Personal,Municipality centre,5. floor of total 6,24 m2,25 m2,,Immediately,,Central district heating,Gas pipeline,,"Train, Road, Urban public transportation, Bus",Class B Coll. 264/2020 complying with,,,Partially,,,7 m2,,,,,,,,,,,Sewerage,,,,2025,,,,,,,,02.06.2023,,,,,,,,,,,,,,,,,,,,
"Švihovská, Praha 4 - Písnice",For sale apartment 1+kt 37 m²,4900000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-pisnice-svihovska/3550917196,4 900 000 CZK per property (k jednání),905120,01.10.2024,Brick,New homes,Personal,,3. floor of total 3,37 m2,31 m2,6 m2,Immediately,Water supply,,,230 V,"Highway, Road, Urban public transportation",Class G Coll. 148/2007 complying with,,,Partially,,,,,,,,,,,,,,Sewerage,Internet,,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahenova, Praha 5 - Košíře",For sale apartment 3+kt 102 m² (Mezonet),11699000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-kosire-mahenova/3004581196,11 699 000 CZK per property,03314,13.09.2024,Mixed,In very good condition,Personal,,6. floor of total 6 including 1 underground,102 m2,,,,Water supply,Local gas,Gas pipeline,230 V,"Highway, Road, Urban public transportation, Bus",Class G,,,,,Mezonet,,,,,,,,,,,,Sewerage,"Internet, Cable TV",,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U Půjčovny, Praha 1 - Nové Město",For sale apartment 4+1 125 m²,19990000,https://www.sreality.cz/en/detail/sale/flat/4+1/praha-nove-mesto-u-pujcovny/2416738892,19 990 000 CZK per property,105977,Yesterday,Brick,Renovated,Personal,,3. floor,125 m2,,,,,,,,,Class G Coll. 78/2013 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malešická, Praha 3 - Žižkov",For sale apartment 1+kt 52 m²,6373500,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-zizkov-malesicka/2008982092,6 373 500 CZK per property,224353,13.09.2024,Mixed,New homes,Personal,,2. floor of total 6,52 m2,52 m2,,,Local water source,Central gas,,230 V,"Train, Highway, Road, Urban public transportation, Bus",Class B,,,,,,,,,85.0 kWh/m^2 /year,,,,,,8 m2,,Sewerage,"Internet, Cable distribution",,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U Nikolajky, Praha 5 - Smíchov",For sale apartment 3+kt 120 m²,Information about price at agency,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-smichov-u-nikolajky/545755724,,401154,16.09.2024,Brick,In very good condition,Personal,Municipality centre,2. floor of total 5,120 m2,120 m2,9 m2,Immediately,,,,,,Class C,,,,,,,,,,Info on price at REA,,,,,,,,,,,,,,,Info in office,,,,,,,,,,,,,,,,,,,,,,,,
"K Horoměřicům, Praha 6 - Suchdol",For sale apartment 2+1 68 m²,8500000,https://www.sreality.cz/en/detail/sale/flat/2+1/praha-suchdol-k-horomericum/3244065356,8 500 000 CZK per property,0096-NP05445,18.09.2024,Brick,In very good condition,Personal,Quiet part of municipality,4. floor of total 5 including 1 underground,68 m2,78 m2,7 m2,Immediately,Water supply,Central district heating,,230 V,Urban public transportation,Class D Coll. 78/2013 complying with,Open Energy Performance Certificate,,,,,,3 m2,1,,,,,,,,,Sewerage,Internet,,,1999,Asphalt,843 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Žerotínova, Praha 3 - Žižkov",For sale apartment 2+kt 44 m²,5337150,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-zizkov-zerotinova/3881599564,5 337 150 CZK per property,00053-1,18.09.2024,Brick,In good condition,Personal,,2. floor,44 m2,,,01.02.2025,,,,,,Class G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dobratická, Praha 9 - Letňany",For sale apartment 3+1 77 m²,7690000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-letnany-dobraticka/1347191372,7 690 000 CZK per property,70,13.09.2024,Panel,In good condition,Personal,,1. floor of total 8 including 1 underground,77 m2,,,,Water supply,Central district heating,,,,Class C,,,,,,,2 m2,,,,,,,,4 m2,,Sewerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nezamyslova, Praha 2 - Nusle",For sale apartment 1+kt 29 m²,3100000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-nusle-nezamyslova/1345205324,3 100 000 CZK per property,0332-NP00053,26.09.2024,Brick,In very good condition,Personal,Municipality centre,1. floor of total 6,29 m2,29 m2,,Immediately,Water supply,Central electric,,230 V,"Road, Urban public transportation, Bus",Class G Coll. 264/2020 complying with,,,Partially,,,,2 m2,,,,,,,,,,Sewerage,Internet,,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doudlebská, Praha 4 - Nusle",For sale apartment 1+kt 34 m²,4990000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-nusle-doudlebska/3833365068,4 990 000 CZK per property,26789,13.09.2024,Brick,In very good condition,Personal,,3. floor of total 5,34 m2,34 m2,,,,Other,,,"Train, Bus",Class G,,,,,,,,,,,,,,,,,,"Internet, Cable TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U libeňského pivovaru, Praha 8 - Libeň",For sale apartment 2+kt 53 m²,8300000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-liben-u-libenskeho-pivovaru/1600946764,8 300 000 CZK per property,105960,25.09.2024,Brick,In very good condition,Personal,,4. floor,53 m2,,4 m2,,,,,,,Class B Coll. 78/2013 complying with,,,,,,,4 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pitterova, Praha 3 - Žižkov",For sale apartment 3+kt 140 m²,17600000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-zizkov-pitterova/543982156,17 600 000 CZK per property,pittsale3k,17.09.2024,Mixed,New homes,Personal,,4. floor of total 12,140 m2,140 m2,,Immediately,,Central district heating,,230 V,Urban public transportation,Class G Coll. 264/2020 complying with,,,,,,40 m2,,,,,,,,,,,,"Internet, Cable distribution",,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tryskovická, Praha 9 - Čakovice",For sale apartment 2+kt 57 m²,7500000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-cakovice-tryskovicka/1512199500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
